ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C1,0.1u,LLL185R71A104MA01L ,,,,,,,
C2,0.1u,LLL185R71A104MA01L ,,,,,,,
C3,0.1u,LLL185R71A104MA01L ,,,,,,,
C7,220p,CGA3E3C0G2E221J080AA,,,,,,,
C8,0.1u,LLL185R71A104MA01L ,,,,,,,
C9,10u,T58MM106M6R3C0300,,,,,,,
CON1,BARREL_JACK,PJ-002A ,,,,,,,
D1,7_SEGMENT_DISPLAY,LF-301VK,,,,,,,
D2,XZMYR155W,XZMYR155W ,,,,,,,
D3,7_SEGMENT_DISPLAY,LF-301VK,,,,,,,
D4,7_SEGMENT_DISPLAY,LF-301VK,,,,,,,
D5,7_SEGMENT_DISPLAY,LF-301VK,,,,,,,
D6,BAV99,BAV99,,,,,,,
J1,SWD_HEADER,M50-3500542,,,,,,,
J2,1881451_LIN,1881451,,,,,,,
R1,200,TNPW0603200RBEEA,,,,,,,
R2,200,TNPW0603200RBEEA,,,,,,,
R3,200,TNPW0603200RBEEA,,,,,,,
R4,200,TNPW0603200RBEEA,,,,,,,
R5,200,TNPW0603200RBEEA,,,,,,,
R6,200,TNPW0603200RBEEA,,,,,,,
R7,200,TNPW0603200RBEEA,,,,,,,
R8,22R,CRCW060322R0JNEA,,,,,,,
R9,10K,CRCW120610K0FKEA,,,,,,,
R10,10K,CRCW120610K0FKEA,,,,,,,
R11,200,TNPW0603200RBEEA,,,,,,,
R12,4K7,ERA-3APB472V,,,,,,,
R13,4K7,ERA-3APB472V,,,,,,,
R14,4K7,ERA-3APB472V,,,,,,,
R15,1K,RK73H2BTTD1001F,,,,,,,
R16,10K,CRCW120610K0FKEA,,,,,,,
R17,200,TNPW0603200RBEEA,,,,,,,
R19,2.7K,ERA-3ARB272V,,,,,,,
R20,4K7,ERA-3APB472V,,,,,,,
R21,100K,667-ERJ-PA2F1003X,,,,,,,
R22,4K7,ERA-3APB472V,,,,,,,
R23,4K7,ERA-3APB472V,,,,,,,
R24,4K7,ERA-3APB472V,,,,,,,
R25,4K7,ERA-3APB472V,,,,,,,
SW1,GP12MCBE,GP12MCBE,,,,,,,
SW2,THUMBWHEEL,Tsw A-3n-Cd23 Lfs,,,,,,,
SW3,TL9210,TL9210AF260Q,,,,,,,
SW4,TL9210,TL9210AF260Q,,,,,,,
SW5,TL9210,TL9210AF260Q,,,,,,,
SW6,TL9210,TL9210AF260Q,,,,,,,
U1,2SC5662,2SC5662T2LP,,,,,,,
U2,SAMC21E-A,SAMC21E15A-AU,,,,,,,
U3,TPS7133QD,TPS7133QD,,,,,,,
U4,2SC5662,2SC5662T2LP,,,,,,,
U5,2SC5662,2SC5662T2LP,,,,,,,
U6,2SC5662,2SC5662T2LP,,,,,,,
U7,ATA663211,ATA663211-GAQW,,,,,,,
